freemarker		2.3.3		http://freemarker.org/
log4j			1.2.7		http://jakarta.apache.org
proxool			0.7.2		http://proxool.sf.net
mysql-connector		3.0.17-ga	http://www.mysql.com
regexp			1.4-dev		http://jakarta.apache.org (27.2.2004 - cvs)
commons-fileupload	1.0		http://jakarta.apache.org
dom4j			1.6		http://dom4j.org/ (vyzaduje jaxen)
jaxen                   1.1-beta-4
lucene			1.4.2		http://jakarta.apache.org
htmlparser		1.4		http://htmlparser.sourceforge.net
rome			0.7		http://rome.dev.java.net (RSS) (vyzaduje jdom)
jdom			1.0		http://www.jdom.org
lucene-highlighter	2004-08		http://www.lucenebook.com
javamail		1.4		http://java.sun.com/products/javamail (vyzaduje jaf)
jaf			1.1		http://java.sun.com/products/javabeans/jaf/
